,Unnamed: 0,id,host_is_superhost,host_identity_verified,bedrooms,beds,accommodates,number_of_reviews,review_scores_rating,reviews_per_month,amenities_count,host_listings_count,instant_bookable,reviews_per_month.1,price,predicted
1323,5357,11697661,0,1,1.0,1.0,2,32,100.0,0.6,29,1.0,0,0.6,126,136.45004697653013
1324,5361,11708784,0,1,1.0,2.0,2,42,99.0,0.79,44,1.0,1,0.79,165,154.68407281160307
1325,5368,11733899,0,1,2.0,2.0,4,10,98.0,0.18,13,1.0,0,0.18,170,185.1239207440517
1326,5369,11747373,0,0,1.0,1.0,3,74,91.0,1.34,4,35.0,1,1.34,43,137.9487741147467
1327,5370,11747834,0,0,1.0,1.0,2,13,97.0,0.25,10,1.0,0,0.25,153,111.29043962056113
1328,5372,11748044,0,1,1.0,2.0,4,13,96.0,0.25,18,3.0,1,0.25,150,173.2328590116689
1329,5374,11748538,1,1,2.0,2.0,4,49,99.0,1.01,41,1.0,0,1.01,420,215.482442381834
1330,5386,11787548,0,1,2.0,1.0,2,2,90.0,0.04,12,2.0,0,0.04,85,139.24792890563782
1331,5388,11790061,0,0,2.0,3.0,3,33,96.0,0.6,24,1.0,0,0.6,187,168.80347335793044
1332,5391,11811296,0,1,2.0,1.0,2,9,93.0,0.16,12,1.0,0,0.16,99,137.17227928226743
1333,5392,11811405,0,1,1.0,1.0,2,16,95.0,0.33,21,1.0,0,0.33,175,128.1560584231879
1334,5396,11814848,0,0,2.0,2.0,4,2,60.0,0.04,11,1.0,0,0.04,130,184.85026435547297
1335,5397,11822995,1,1,1.0,1.0,2,38,97.0,0.69,18,1.0,1,0.69,95,118.60126167456065
1336,5402,11832824,0,1,1.0,2.0,2,7,89.0,0.13,9,5.0,1,0.13,79,114.30907998364455
1337,5405,11834625,0,1,1.0,1.0,2,2,100.0,0.04,13,1.0,0,0.04,120,119.12307208272544
1338,5423,11859831,0,1,2.0,4.0,4,49,97.0,0.89,23,2.0,0,0.89,116,189.26175334285426
1339,5427,11867547,0,1,1.0,1.0,2,8,98.0,0.15,24,1.0,0,0.15,150,133.93543312834925
1340,5429,11876722,0,1,4.0,3.0,5,2,100.0,0.04,11,1.0,0,0.04,100,246.56068400980496
1341,5433,11887450,0,0,1.0,1.0,2,5,92.0,0.09,7,2.0,0,0.09,220,109.55084036539263
1342,5442,11907868,0,1,1.0,1.0,2,7,91.0,0.13,12,1.0,0,0.13,80,117.4496865356612
1343,5449,11927054,0,1,2.0,1.0,2,5,100.0,0.16,30,1.0,0,0.16,120,162.7132453919087
