,id,bedrooms,beds,accommodates,latitude,longitude,number_of_reviews,review_scores_rating,host_identity_verified,host_is_superhost,reviews_per_month,host_listings_count,amenities_count,instant_bookable,reviews_per_month,predicted_price
11042,21698789,2.0,2.0,3,52.36201,4.85069,4,85.0,0,0,0.11,1.0,11,1,0.11,150.1937
10546,20838843,1.0,2.0,2,52.38827,4.91512,7,94.0,1,0,0.19,1.0,9,0,0.19,101.21533
15748,35764214,2.0,2.0,3,52.37036,4.85032,7,100.0,1,0,0.47,2.0,39,0,0.47,167.16238
1583,3327403,1.0,1.0,2,52.37028,4.88511,11,82.0,0,0,0.14,1.0,4,0,0.14,128.79001
10617,20980499,1.0,1.0,2,52.36452,4.8434599999999985,3,90.0,0,0,0.08,1.0,8,1,0.08,97.56178
16786,39256004,1.0,1.0,2,52.37463,4.8625099999999986,6,100.0,1,0,0.62,0.0,24,0,0.62,134.70024
6246,13375268,1.0,1.0,1,52.36145,4.93716,1,100.0,1,0,0.02,1.0,7,0,0.02,90.7859
7319,14875613,1.0,1.0,2,52.35515,4.88719,11,98.0,1,0,0.26,1.0,26,0,0.26,172.0055
8837,18075066,1.0,2.0,4,52.38324,4.85613,23,99.0,0,0,0.58,1.0,23,1,0.58,154.5659
10187,20118492,1.0,1.0,2,52.37242,4.85085,30,100.0,1,1,0.78,1.0,18,0,0.78,102.35769
2031,4274135,2.0,2.0,4,52.35477,4.93013,2,80.0,1,0,0.03,1.0,8,0,0.03,145.41801
8240,16697065,1.0,1.0,2,52.37824000000001,4.8476300000000005,20,97.0,1,0,0.45,2.0,28,0,0.45,105.70564
6400,13547809,1.0,1.0,2,52.37179,4.8659,28,96.0,1,0,0.57,1.0,18,0,0.57,131.36787
2821,6196535,1.0,1.0,2,52.36022,4.84968,9,98.0,1,0,0.15,1.0,5,0,0.15,99.254074
10022,19887201,2.0,2.0,4,52.35925,4.86475,1,0.0,1,0,0.03,1.0,13,0,0.03,226.72733
2419,5175976,6.0,1.0,2,52.34435,4.80553,27,93.0,0,0,0.4,1.0,22,0,0.4,163.61153
12907,26383495,3.0,5.0,4,52.34661,4.90055,20,98.0,1,0,0.78,1.0,26,0,0.78,264.72488
13950,29409111,0.0,2.0,4,52.36139,4.798030000000002,8,90.0,1,0,0.33,1.0,24,0,0.33,119.87358
9850,19677742,3.0,3.0,6,52.35177,5.00064,38,99.0,1,1,0.98,1.0,36,0,0.98,261.63132
8714,17854108,1.0,1.0,2,52.35881,4.8874,16,96.0,1,0,0.37,1.0,16,0,0.37,151.9474
18410,44365699,1.0,1.0,2,52.35992,4.89781,1,100.0,1,0,1.0,0.0,25,1,1.0,157.46083
9000,18303077,1.0,1.0,2,52.41271,4.88283,2,90.0,0,0,0.05,1.0,19,1,0.05,119.40452
6455,13611328,1.0,1.0,2,52.40432,4.909680000000002,17,88.0,1,0,0.33,1.0,7,0,0.33,75.83132
11712,23019398,2.0,2.0,3,52.35419,4.92164,16,100.0,1,0,0.54,1.0,16,0,0.54,155.67192
16687,38989121,1.0,1.0,1,52.38211,4.87323,4,100.0,1,0,0.38,0.0,23,0,0.38,131.0687
9868,19691686,2.0,2.0,4,52.38625,4.89003,8,100.0,1,0,0.2,2.0,7,0,0.2,195.003
3707,7822216,0.0,1.0,2,52.35442000000001,4.89379,2,80.0,1,0,0.03,1.0,7,0,0.03,94.028824
346,729317,1.0,1.0,2,52.36074,4.8943699999999986,84,94.0,1,0,1.96,2.0,20,1,1.96,142.03879
18325,44130900,1.0,4.0,4,52.36828,4.87436,6,100.0,0,1,2.31,0.0,10,1,2.31,159.41129
16293,37482771,1.0,1.0,2,52.37915,4.8817900000000005,2,100.0,1,0,0.14,0.0,25,0,0.14,159.54622
3419,7297685,1.0,1.0,2,52.36523,4.87039,1,100.0,0,0,0.02,2.0,9,0,0.02,136.96013
12307,24591991,1.0,1.0,2,52.35917,4.86081,13,98.0,0,0,0.44,2.0,23,0,0.44,147.80992
10632,21004020,1.0,1.0,2,52.3669,4.85738,1,100.0,0,0,0.03,1.0,26,0,0.03,146.0071
14555,31215516,1.0,2.0,2,52.40676,4.93283,0,0.0,0,0,0.0,0.0,11,1,0.0,87.93853
3470,7383060,2.0,2.0,4,52.35777,4.85763,22,99.0,0,0,0.35,1.0,8,1,0.35,181.1885
7827,15907932,1.0,2.0,2,52.40792,4.92429,0,0.0,0,0,0.0,1.0,13,1,0.0,95.28941
9386,18931377,1.0,1.0,2,52.36611,4.8405,2,100.0,0,0,0.05,1.0,14,0,0.05,112.77978
4797,10137549,2.0,2.0,3,52.36919,4.86073,1,100.0,1,0,0.02,1.0,11,0,0.02,152.6145
6248,13381387,1.0,1.0,2,52.38455,4.87901,7,94.0,0,0,0.14,1.0,10,0,0.14,129.17024
13251,27308120,2.0,2.0,4,52.37332,4.85559,16,100.0,1,1,0.61,1.0,20,0,0.61,183.3658
16820,39333226,0.0,1.0,1,52.38935,4.88569,0,0.0,0,0,0.0,2.0,11,0,0.0,95.648155
13979,29529065,3.0,6.0,4,52.36423,4.93484,6,80.0,1,0,0.37,2.0,28,1,0.37,270.8149
8681,17774718,1.0,2.0,4,52.35397,4.84734,261,98.0,1,1,6.11,1.0,34,1,6.11,76.32792
1750,3673166,1.0,1.0,2,52.37161,4.87617,87,93.0,1,0,1.48,1.0,26,0,1.48,149.12646
1430,3008002,2.0,3.0,4,52.35691,4.89351,9,93.0,0,0,0.14,3.0,9,1,0.14,247.7026
11698,22980314,3.0,4.0,4,52.37867,4.8906,9,98.0,1,0,0.3,1.0,48,0,0.3,332.74252
14542,31173327,1.0,1.0,2,52.3802,4.87231,2,100.0,0,0,0.12,1.0,9,1,0.12,120.12471
10437,20618345,2.0,2.0,4,52.38553,4.86862,22,96.0,1,0,0.58,1.0,36,0,0.58,202.2971
16672,38906001,1.0,1.0,2,52.36357,4.8655599999999986,12,100.0,1,1,0.99,3.0,22,0,0.99,125.266975
13565,28167828,1.0,1.0,2,52.38036,4.88618,71,100.0,1,0,2.9,1.0,17,1,2.9,113.40525
8089,16385016,1.0,1.0,2,52.37159000000001,4.856319999999998,9,100.0,1,0,0.22,1.0,12,0,0.22,113.05685
2444,5301467,1.0,1.0,2,52.35381,4.90161,8,89.0,0,0,0.12,1.0,14,0,0.12,133.24303
12272,24508265,1.0,1.0,2,52.36656,4.89151,23,98.0,1,1,0.96,3.0,32,1,0.96,162.3817
8819,18048089,1.0,1.0,2,52.35261,4.90752,4,100.0,0,0,0.09,1.0,10,0,0.09,120.645294
15928,36325266,2.0,0.0,4,52.30051,4.974469999999998,9,91.0,1,0,0.59,2.0,19,0,0.59,109.642235
11651,22837625,1.0,2.0,2,52.37207,4.8816,0,0.0,1,0,0.0,1.0,12,1,0.0,145.6192
1350,2830788,0.0,1.0,2,52.35035,4.91362,173,98.0,1,1,2.2,2.0,20,0,2.2,94.3635
11877,23448508,2.0,2.0,3,52.36488,4.88399,3,73.0,0,0,0.1,0.0,20,1,0.1,230.0415
11920,23575414,1.0,1.0,2,52.37567,4.88223,229,97.0,1,1,7.19,1.0,26,1,7.19,57.07955
14738,32008398,1.0,2.0,4,52.36313,4.90147,10,100.0,0,0,0.49,1.0,24,1,0.49,214.24063
15138,33483560,1.0,1.0,2,52.37664,4.94386,3,73.0,0,0,0.28,0.0,28,1,0.28,125.63017
17216,40446107,2.0,2.0,4,52.36116,4.83568,3,100.0,1,0,0.31,0.0,13,0,0.31,144.23907
2330,4932087,1.0,2.0,3,52.37678,4.89614,66,91.0,1,0,0.97,1.0,28,0,0.97,164.73557
