,beds,accommodates,price
452,2.0,2,$117.00
453,2.0,3,$76.00
454,8.0,6,$359.00
455,2.0,2,$160.00
456,2.0,3,$89.00
457,1.0,2,$155.00
458,1.0,2,$130.00
459,1.0,2,$131.86
460,1.0,2,$120.00
461,1.0,2,$229.00
462,3.0,4,$73.00
463,1.0,2,$120.00
464,2.0,4,$383.57
465,1.0,3,$187.86
466,2.0,4,$226.00
467,1.0,4,$239.00
468,1.0,1,$68.00
469,1.0,2,$235.00
470,1.0,4,$250.00
471,1.0,2,$150.00
472,1.0,2,$114.00
473,1.0,2,$59.00
474,1.0,2,$85.00
475,1.0,2,$150.00
476,3.0,4,$127.00
477,4.0,4,$255.00
478,2.0,2,$105.00
479,1.0,1,$125.00
480,4.0,4,$399.00
481,2.0,4,$125.00
482,0.0,4,$99.00
483,1.0,2,$139.00
484,1.0,2,$200.00
485,2.0,4,$199.00
486,2.0,4,$200.00
487,1.0,2,$150.00
488,1.0,4,$119.00
489,1.0,2,$93.00
490,1.0,2,$119.00
491,6.0,4,$110.00
492,18.0,16,$500.00
493,4.0,5,$175.00
494,4.0,4,$185.00
495,1.0,2,$130.00
496,4.0,4,$195.00
497,1.0,2,$90.00
498,1.0,2,$145.00
499,1.0,2,$90.00
500,1.0,2,$85.00
501,1.0,2,$125.00
502,3.0,4,$140.00
503,1.0,2,$65.00
504,5.0,5,$160.00
505,2.0,2,$70.00
506,2.0,2,$79.00
507,3.0,4,$250.00
508,5.0,6,$275.00
509,2.0,6,$240.00
510,1.0,2,$57.00
511,3.0,4,$355.00
512,3.0,3,$95.00
513,1.0,2,$73.00
514,1.0,2,$169.00
515,1.0,2,$52.00
516,2.0,4,$145.00
517,2.0,2,$90.00
518,2.0,4,$250.00
519,2.0,2,$75.29
520,4.0,4,$300.00
521,5.0,6,$389.29
522,4.0,4,$153.00
523,1.0,2,$205.00
524,1.0,2,$129.00
525,3.0,4,$250.00
526,0.0,2,$116.00
527,1.0,2,$30.00
528,1.0,2,$145.00
529,4.0,4,$119.00
530,4.0,6,$125.00
531,2.0,2,$136.00
532,1.0,2,$51.00
533,3.0,4,$114.00
534,1.0,2,$170.00
535,2.0,3,$140.00
536,6.0,4,$145.00
537,4.0,5,$250.00
538,1.0,2,$102.00
539,1.0,2,$87.00
540,1.0,2,$145.00
541,1.0,2,$110.00
542,4.0,4,$225.00
543,1.0,2,$171.00
544,2.0,4,$295.00
545,3.0,4,$925.00
546,2.0,4,$177.00
